data_type,backend,opt_median,rounds_median,cost_per_round_median,first_eval_median,n
AA,GPU_MAXREG,27.39,1.0,27.39,0.579,70
AA,GPU_P5,15.397,1.0,15.397,0.561,99
AA,GPU_P6,15.439,1.0,15.439,0.59,100
AA,GPU_P6_FIX,15.382,1.0,15.382,0.554,98
AA,OMP_10,37.316,1.0,37.316,,100
AA,OMP_48,13.586,1.0,13.586,,100
AA,OPENACC,27.728,1.0,27.728,0.579,137
AA,VANILA,247.279,1.0,247.279,,20
DNA,GPU_MAXREG,45.568,4.0,10.181,0.36,50
DNA,GPU_P5,20.808,4.0,4.652,0.348,80
DNA,GPU_P6,28.024,4.0,6.35,0.459,100
DNA,GPU_P6_FIX,20.852,4.0,4.662,0.345,80
DNA,OMP_10,33.174,4.0,6.515,,100
DNA,OMP_48,13.606,4.0,3.029,,100
DNA,OPENACC,46.632,4.0,10.5,0.364,90
DNA,VANILA,119.261,4.0,28.871,,40
