data_type,model,tree,GPU_MAXREG,GPU_P5,GPU_P6,GPU_P6_FIX,OMP_10,OMP_48,OPENACC,VANILA,speedup_OMP_10,speedup_OMP_48,speedup_OPENACC,speedup_GPU_MAXREG,speedup_GPU_P5,speedup_GPU_P6,speedup_GPU_P6_FIX,speedup_p6fix_vs_OPENACC,speedup_p6fix_vs_GPU_MAXREG,speedup_p6fix_vs_GPU_P5,speedup_p6fix_vs_GPU_P6
AA,LG,tree_1,30.624499999999998,18.458,18.5095,18.464,38.3865,15.009,30.907,284.3415,7.407330702199992,18.944733160103937,9.199906170123272,9.284771996277492,15.404783833568102,15.36192225613874,15.399777946273831,1.673905979202773,1.6586059358752165,0.9996750433275563,1.0024642547660312
AA,LG,tree_10,,18.418,18.432,18.445,38.331999999999994,16.192,,,,,,,,,,,,0.998536188669016,0.9992952019517484
AA,LG,tree_2,23.865499999999997,15.027000000000001,15.09,15.042,29.863500000000002,11.6225,24.025,220.262,7.375625763892376,18.951344375134436,9.168033298647243,9.22930590182481,14.657749384441338,14.596554009277668,14.643132562159288,1.5971945220050525,1.5865908788724903,0.9990027921818908,1.0031910650179496
AA,LG,tree_3,30.419,18.3435,18.3915,18.34,39.562,15.6555,30.7055,,,,,,,,,1.674236641221374,1.6586150490730645,1.0001908396946564,1.0028080697928026
AA,LG,tree_4,30.387999999999998,18.445500000000003,18.4705,18.423000000000002,39.534,15.0835,30.695999999999998,,,,,,,,,1.666178146881615,1.6494599142376374,1.0012212994626284,1.0025782988655485
AA,LG,tree_5,30.118499999999997,18.176000000000002,18.194499999999998,18.1685,38.6345,17.238,30.384500000000003,,,,,,,,,1.6723725128656741,1.6577317885351017,1.0004128023777417,1.0014310482428377
AA,LG,tree_6,30.4825,18.264499999999998,18.2665,18.246,39.930499999999995,15.173,30.822000000000003,,,,,,,,,1.689246958237422,1.6706401403047246,1.0010139208593665,1.001123533925244
AA,LG,tree_7,30.052500000000002,18.227,18.2505,18.244,38.126,15.6145,30.323,,,,,,,,,1.6620806840605131,1.647253891690419,0.9990681868011402,1.0003562815172111
AA,LG,tree_8,,18.284,18.272,18.274500000000003,38.04,15.190000000000001,,,,,,,,,,,,1.0005198500642971,0.9998631973515004
AA,LG,tree_9,,15.104,15.1435,15.151499999999999,30.955,12.432500000000001,,,,,,,,,,,,0.9968649968649969,0.9994719994719995
DNA,GTR,tree_1,43.038,21.5275,28.363,21.541,25.598,12.8715,44.415499999999994,117.0055,4.570884444097195,9.09027696849629,2.6343393635104864,2.7186556066731726,5.435164324700964,4.1252864647604275,5.431758042802098,2.0619052040295247,1.9979573835940763,0.9993732881481825,1.3166983891184252
DNA,GTR,tree_10,,,30.899,,38.7815,11.902000000000001,,,,,,,,,,,,,
DNA,GTR,tree_2,48.700500000000005,23.6875,30.807000000000002,23.682,26.677,12.8445,50.025499999999994,123.156,4.616561082580501,9.58822842461754,2.461864449130944,2.528844673052638,5.1991978891820585,3.9976628688285127,5.200405371167976,2.1123849337049236,2.056435267291614,1.0002322438983196,1.3008614137319485
DNA,GTR,tree_3,43.153,21.3185,28.05,21.3235,25.8545,13.541,44.286500000000004,117.06049999999999,4.527664429789785,8.644893287054131,2.643254716448579,2.7126850972122445,5.4910289185449255,4.173279857397504,5.489741365160503,2.0768870026027626,2.023729687903018,0.9997655169179545,1.3154500902759867
DNA,GTR,tree_4,58.9905,28.407,38.19,28.429499999999997,48.7575,21.234,61.207,170.8125,3.503307183510229,8.044292172930206,2.7907347198849806,2.8955933582526003,6.013042559932411,4.472702278083268,6.00828364902654,2.1529397280993336,2.0749749380045377,0.9992085685643435,1.3433229567878437
DNA,GTR,tree_5,48.934,23.450000000000003,30.003999999999998,23.475,26.6705,13.486,49.802,,,,,,,,,2.1214909478168265,2.0845154419595313,0.9989350372736955,1.2781256656017037
DNA,GTR,tree_6,,26.6155,36.794,26.680500000000002,34.8265,21.189,,,,,,,,,,,,0.99756376379753,1.3790596128258463
DNA,GTR,tree_7,,23.5745,29.9765,23.6055,27.052999999999997,14.7925,,,,,,,,,,,,0.998686746732753,1.2698947279235773
DNA,GTR,tree_8,,31.752,45.637,31.795,65.904,19.644,,,,,,,,,,,,0.9986475860984431,1.4353514703569743
DNA,GTR,tree_9,,,47.435,,46.176,21.804000000000002,,,,,,,,,,,,,
