data_type,model,backend,walltime_mean,walltime_median,walltime_std,walltime_min,walltime_max,opt_time_mean,logl_mean,logl_std,tree_length_mean,tree_length_std,n_runs
AA,LG,GPU_MAXREG,29.486,30.248,2.329,23.393,31.885,26.588,-87470599.18,1812371.109,19.72,0.569,70
AA,LG,GPU_TIP_STATE,17.671,18.286,1.312,14.97,18.545,14.799,-86324112.641,2618006.962,19.352,0.797,99
AA,LG,OMP_10,40.597,38.558,9.58,28.444,67.275,39.26,-86328013.8,2605043.269,19.351,0.793,100
AA,LG,OMP_48,15.457,15.02,2.398,11.25,20.561,14.026,-86328013.8,2605043.269,19.351,0.793,100
AA,LG,OPENACC,29.859,30.599,2.427,23.594,32.29,26.954,-87477966.393,1824949.805,19.719,0.573,137
AA,LG,VANILA,251.787,250.29,33.784,212.665,291.329,248.778,-89703067.776,822470.828,20.13,0.186,20
DNA,GTR,GPU_MAXREG,48.685,48.264,5.991,42.19,60.852,45.921,-66837691.056,1560312.56,19.746,0.607,50
DNA,GTR,GPU_TIP_STATE,25.05,23.621,3.414,21.213,31.858,22.236,-66557528.13,1944873.717,19.49,0.817,80
DNA,GTR,OMP_10,38.111,34.237,14.922,19.758,92.248,36.906,-67437010.89,2633938.757,19.912,1.19,100
DNA,GTR,OMP_48,16.185,15.054,4.098,9.97,24.545,15.061,-67437010.89,2633938.757,19.912,1.19,100
DNA,GTR,OPENACC,50.172,49.356,6.565,43.421,63.452,47.367,-66702448.222,1579812.307,19.703,0.622,90
DNA,GTR,VANILA,133.017,121.995,22.931,111.904,177.733,130.275,-66533394.68,1607473.986,19.648,0.643,40
