data_type,model,tree,P1_loglik,P5_loglik,OMP48_loglik,P1_vs_P5_diff,P1_vs_P5_match,P1_vs_OMP48_diff,P1_vs_OMP48_match,P1_consistent,P1_n_unique_ll,P1_tree_length,P5_tree_length,OMP48_tree_length,TL_P1_vs_P5,TL_P1_vs_OMP48
AA,LG,tree_1,-88901466.9208,-88901422.374,-88901422.374,44.54680000245571,MISMATCH (diff=44.5468),44.54680000245571,MISMATCH (diff=44.5468),True,1,19.9427,19.949,19.949,MISMATCH (diff=0.0063),MISMATCH (diff=0.0063)
AA,LG,tree_10,-86714281.6282,-86714228.485,-86714228.485,53.1431999951601,MISMATCH (diff=53.1432),53.1431999951601,MISMATCH (diff=53.1432),True,1,19.2055,19.208,19.208,MISMATCH (diff=0.0025),MISMATCH (diff=0.0025)
AA,LG,tree_2,-90504760.7887,-90504713.177,-90504713.177,47.611699998378754,MISMATCH (diff=47.6117),47.611699998378754,MISMATCH (diff=47.6117),True,1,20.3161,20.312,20.312,MISMATCH (diff=0.0041),MISMATCH (diff=0.0041)
AA,LG,tree_3,-87357053.7587,-87357001.171,-87357001.171,52.58769999444485,MISMATCH (diff=52.5877),52.58769999444485,MISMATCH (diff=52.5877),True,1,19.4221,19.421,19.421,MISMATCH (diff=0.0011),MISMATCH (diff=0.0011)
AA,LG,tree_4,-87712679.44,-87712627.079,-87712627.079,52.36100000143051,MISMATCH (diff=52.3610),52.36100000143051,MISMATCH (diff=52.3610),True,1,20.3881,20.39,20.39,MISMATCH (diff=0.0019),MISMATCH (diff=0.0019)
AA,LG,tree_5,-86382823.1616,-86382770.364,-86382770.364,52.797600001096725,MISMATCH (diff=52.7976),52.797600001096725,MISMATCH (diff=52.7976),True,1,19.6133,19.61,19.61,MISMATCH (diff=0.0033),MISMATCH (diff=0.0033)
AA,LG,tree_6,-84301546.823,-84301496.968,-84301496.968,49.855000004172325,MISMATCH (diff=49.8550),49.855000004172325,MISMATCH (diff=49.8550),True,1,18.5872,18.591,18.591,MISMATCH (diff=0.0038),MISMATCH (diff=0.0038)
AA,LG,tree_7,-87134222.0487,-87134163.126,-87134163.126,58.9227000027895,MISMATCH (diff=58.9227),58.9227000027895,MISMATCH (diff=58.9227),True,1,19.7708,19.77,19.77,MATCH,MATCH
AA,LG,tree_8,-81931569.4926,-81931521.002,-81931521.002,48.49059998989105,MISMATCH (diff=48.4906),48.49059998989105,MISMATCH (diff=48.4906),True,1,18.2435,18.249,18.249,MISMATCH (diff=0.0055),MISMATCH (diff=0.0055)
AA,LG,tree_9,-82340240.0177,-82340194.25,-82340194.25,45.767700001597404,MISMATCH (diff=45.7677),45.767700001597404,MISMATCH (diff=45.7677),True,1,18.0092,18.008,18.008,MISMATCH (diff=0.0012),MISMATCH (diff=0.0012)
DNA,GTR,tree_1,-64343453.4465,-64343405.643,-64343405.643,47.80350000411272,MISMATCH (diff=47.8035),47.80350000411272,MISMATCH (diff=47.8035),True,1,18.8458,18.844,18.844,MISMATCH (diff=0.0018),MISMATCH (diff=0.0018)
DNA,GTR,tree_2,-66217826.7167,-66217786.827,-66217786.827,39.88970000296831,MISMATCH (diff=39.8897),39.88970000296831,MISMATCH (diff=39.8897),True,1,19.4201,19.418,19.418,MISMATCH (diff=0.0021),MISMATCH (diff=0.0021)
DNA,GTR,tree_3,-66775585.7182,-66775543.576,-66775543.576,42.142200000584126,MISMATCH (diff=42.1422),42.142200000584126,MISMATCH (diff=42.1422),True,1,19.7309,19.731,19.731,MATCH,MATCH
DNA,GTR,tree_4,-68796897.5105,-68796842.673,-68796842.673,54.837500005960464,MISMATCH (diff=54.8375),54.837500005960464,MISMATCH (diff=54.8375),True,1,20.6013,20.6,20.6,MISMATCH (diff=0.0013),MISMATCH (diff=0.0013)
DNA,GTR,tree_5,-68054924.6442,-68054876.562,-68054876.562,48.08219999074936,MISMATCH (diff=48.0822),48.08219999074936,MISMATCH (diff=48.0822),True,1,20.1454,20.138,20.138,MISMATCH (diff=0.0074),MISMATCH (diff=0.0074)
DNA,GTR,tree_6,-62744017.4387,-62743967.673,-62743967.673,49.76569999754429,MISMATCH (diff=49.7657),49.76569999754429,MISMATCH (diff=49.7657),True,1,17.7533,17.749,17.749,MISMATCH (diff=0.0043),MISMATCH (diff=0.0043)
DNA,GTR,tree_7,-67994419.0231,-67994364.745,-67994364.745,54.27809999883175,MISMATCH (diff=54.2781),54.27809999883175,MISMATCH (diff=54.2781),True,1,19.7121,19.714,19.714,MISMATCH (diff=0.0019),MISMATCH (diff=0.0019)
DNA,GTR,tree_8,-67533499.0224,-67533437.34,-67533437.34,61.6824000030756,MISMATCH (diff=61.6824),61.6824000030756,MISMATCH (diff=61.6824),True,1,19.7198,19.722,19.722,MISMATCH (diff=0.0022),MISMATCH (diff=0.0022)
