data_type,model,tree,logl_min,logl_max,logl_range,tl_min,tl_max,tl_range
AA,LG,tree_1,-88901422.374,-88901422.374,0.0,19.949,19.949,0.0
AA,LG,tree_10,-86714228.485,-86714228.485,0.0,19.208,19.208,0.0
AA,LG,tree_2,-90504713.177,-90504713.177,0.0,20.312,20.312,0.0
AA,LG,tree_3,-87357001.171,-87357001.171,0.0,19.421,19.421,0.0
AA,LG,tree_4,-87712627.079,-87712627.079,0.0,20.39,20.39,0.0
AA,LG,tree_5,-86382770.364,-86382770.364,0.0,19.61,19.61,0.0
AA,LG,tree_6,-84301496.968,-84301496.968,0.0,18.591,18.591,0.0
AA,LG,tree_7,-87134163.126,-87134163.126,0.0,19.77,19.77,0.0
AA,LG,tree_8,-81931521.002,-81931521.002,0.0,18.249,18.249,0.0
AA,LG,tree_9,-82340194.25,-82340194.25,0.0,18.008,18.008,0.0
DNA,GTR,tree_1,-64343405.643,-64343405.643,0.0,18.844,18.844,0.0
DNA,GTR,tree_10,-68972398.54,-68972398.54,0.0,20.7,20.7,0.0
DNA,GTR,tree_2,-66217786.827,-66217786.827,0.0,19.418,19.418,0.0
DNA,GTR,tree_3,-66775543.576,-66775543.576,0.0,19.731,19.731,0.0
DNA,GTR,tree_4,-68796842.673,-68796842.673,0.0,20.6,20.6,0.0
DNA,GTR,tree_5,-68054876.562,-68054876.562,0.0,20.138,20.138,0.0
DNA,GTR,tree_6,-62743967.673,-62743967.673,0.0,17.749,17.749,0.0
DNA,GTR,tree_7,-67994364.745,-67994364.745,0.0,19.714,19.714,0.0
DNA,GTR,tree_8,-67533437.34,-67533437.34,0.0,19.722,19.722,0.0
DNA,GTR,tree_9,-72937485.322,-72937485.322,0.0,22.502,22.502,0.0
