data_type,topology,model,n_trees,n_exact,max_diff,mean_diff,median_diff,status
AA,rooted,LG,10,10,0.0,0.0,0.0,PASS
AA,rooted,LG+C60,10,0,53.45929999999999,38.26702000000001,38.019600000000004,FAIL
AA,rooted,LG+G4,10,10,0.0,0.0,0.0,PASS
AA,rooted,LG+I,10,10,0.0,0.0,0.0,PASS
AA,rooted,LG+I+G4,10,10,0.0,0.0,0.0,PASS
AA,rooted,LG+R4,10,10,0.0,0.0,0.0,PASS
AA,unrooted,LG,10,10,0.0,0.0,0.0,PASS
AA,unrooted,LG+C60,10,0,48.5595,34.284940000000006,34.61255,FAIL
AA,unrooted,LG+G4,10,10,0.0,0.0,0.0,PASS
AA,unrooted,LG+I,10,10,0.0,0.0,0.0,PASS
AA,unrooted,LG+I+G4,10,10,0.0,0.0,0.0,PASS
AA,unrooted,LG+R4,10,9,0.00010000000000331966,1.0000000000331965e-05,0.0,PASS
DNA,rooted,GTR,10,8,0.001200000000000756,0.00015999999999998237,0.0,PASS
DNA,rooted,GTR+G4,10,9,0.00010000000000331966,2.000000000030866e-05,0.0,PASS
DNA,rooted,GTR+I,10,8,0.002899999999996794,0.0004399999999996851,0.0,PASS
DNA,rooted,GTR+I+G4,10,8,0.03259999999999863,0.0032800000000001717,0.0,WARN
DNA,rooted,GTR+R4,10,7,0.012099999999996669,0.0013999999999999347,0.0,WARN
DNA,unrooted,GTR,10,8,0.0030000000000001137,0.00047000000000032573,0.0,PASS
DNA,unrooted,GTR+G4,10,10,9.999999999976694e-05,1.9999999999953388e-05,0.0,PASS
DNA,unrooted,GTR+I,10,9,0.0013999999999967372,0.0001599999999996271,0.0,PASS
DNA,unrooted,GTR+I+G4,10,7,0.002300000000001745,0.000280000000000058,0.0,PASS
DNA,unrooted,GTR+R4,10,5,0.0030999999999998806,0.0006800000000001915,0.0001000000000015433,PASS
